Sample Name	QC_Pass	Exclude (non/duplicate sample)	Final_subset	Bird_Gross_Necropsy_ID	Plate Label - Site of isolation	collection_date	collection_year	Bird_Age	Farms_ID	Flock_ID	Host	Collection
FH110	PASS	Include	No	264	LIVER	24/5/2016	2016	5	3	19	Chicken	BCO
FH118	FAIL	Include	No	267	RFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH123	FAIL	Include	No	274	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH129	FAIL	Include	No	358	RFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH131	FAIL	Include	No	360	LIVER	24/5/2016	2016	5	3	19	Chicken	BCO
FH135	PASS	Include	No	362	YS	24/5/2016	2016	5	3	19	Chicken	BCO
FH111	PASS	Include	Yes	264	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH113	PASS	Include	No	264	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH112	PASS	Include	No	264	RFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH114	PASS	Include	Yes	266	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH143	PASS	Include	No	364	PERICARDIUM	24/5/2016	2016	5	3	19	Chicken	BCO
FH144	PASS	Include	No	364	LIVER	24/5/2016	2016	5	3	19	Chicken	BCO
FH115	PASS	Include	No	266	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH117	PASS	Include	No	266	RFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH116	PASS	Include	No	266	RTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH120	PASS	Include	Yes	267	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH121	PASS	Include	No	267	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH124	PASS	Include	Yes	274	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH125	PASS	Include	Yes	274	RFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH122	PASS	Include	No	274	RTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH132	PASS	Include	Yes	358	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH126	PASS	Include	No	358	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH128	PASS	Include	No	358	RTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH130	PASS	Include	Yes	359	RTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH134	PASS	Include	Yes	360	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH133	PASS	Include	No	360	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH138	PASS	Include	Yes	362	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH136	PASS	Include	No	362	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH137	PASS	Include	No	362	RFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH127	PASS	Include	No	362	RTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH140	PASS	Include	Yes	363	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH139	PASS	Include	No	363	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH141	PASS	Include	No	363	RFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH142	PASS	Include	No	363	RTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH146	PASS	Include	Yes	364	LFH	24/5/2016	2016	5	3	19	Chicken	BCO
FH148	PASS	Include	No	364	LTT	24/5/2016	2016	5	3	19	Chicken	BCO
FH147	PASS	Include	No	364	RFH	24/5/2016	2016	5	3	19	Chicken	BCO
